id,name,rating,address,city,lat,long
262,tea-era-cupertino,4,20916 Homestead Rd,Cupertino,37.3372,-122.0404
263,fantasia-coffee-and-tea-cupertino,4,10933 N Wolfe Rd,Cupertino,37.3361,-122.0159
264,tpumps-cupertino,3.5,19959 Stevens Creek Blvd,Cupertino,37.3232,-122.0229
265,super-cue-cafe-cupertino,3.5,19620 Stevens Creek Blvd,Cupertino,37.3224,-122.0167
266,happy-lemon-cupertino-5,4.5,10963 N Wolfe Rd,Cupertino,37.3362,-122.0151
267,ten-ren-tea-cupertino,4,10881 N Wolfe Rd,Cupertino,37.3356,-122.0150
268,meet-fresh-cupertino,3,19449 Stevens Creek Blvd,Cupertino,37.3244,-122.0106
269,hechaa-cupertino-4,3.5,10619 S De Anza Blvd,Cupertino,37.3136,-122.0326
270,calibear-cyber-cafe-sunnyvale-6,4.5,1336 S Mary Ave,Sunnyvale,37.3507,-122.0496
271,happy-lemon-sunnyvale-2,5,605 E El Camino Real,Sunnyvale,37.3619,-122.0245
272,what8ver-express-cupertino-2,3.5,10118 Bandley Dr,Cupertino,37.3245,-122.0341
273,gong-cha-sunnyvale,4.5,1641 Hollenbeck Ave,Sunnyvale,37.3393,-122.0426
274,cafe-lattea-cupertino,3.5,19501 Stevens Creek Blvd,Cupertino,37.3232,-122.0123
275,t4-cupertino-cupertino,4,19505 Stevens Creek Blvd,Cupertino,37.3233,-122.0128
276,sharetea-sunnyvale-3,4,568 El Camino Real,Sunnyvale,37.3624,-122.0273
277,tea-chansii-cupertino,3,19449 Stevens Creek Blvd,Cupertino,37.3244,-122.0111
278,verde-tea-house-cupertino-2,3.5,10477 S De Anza Blvd,Cupertino,37.3162,-122.0325
279,bubble-tea-time-saratoga,4,18564 Prospect Rd,Saratoga,37.2917,-121.9964
280,the-tea-zone-and-fruit-bar-mountain-view,4.5,805 El Camino Real,Mountain View,37.3857,-122.0844
281,teaspoon-santa-clara-7,4,3450 El Camino Real,Santa Clara,37.3520,-121.9912
282,beastea-santa-clara,4,2785 El Camino Real,Santa Clara,37.3530,-121.9771
283,teaspoon-mountain-view,3.5,236 Castro St,Mountain View,37.3935,-122.0796
284,tea-annie-mountain-view,4,1712 Miramonte Ave,Mountain View,37.3723,-122.0880
285,verde-tea-cafe-mountain-view,3.5,852 Villa St,Mountain View,37.3942,-122.0795
286,teafans-sunnyvale,3.5,927 E Arques Ave,Sunnyvale,37.3814,-122.0081
287,85-c-bakery-cafe-san-jose-5,3.5,1183 S De Anza Blvd,San Jose,37.3036,-122.0324
288,matcha-love-san-jose-6,4,675 Saratoga Ave,San Jose,37.3150,-121.9781
289,bambu-sunnyvale-2,3.5,189 W Washington Ave,Sunnyvale,37.3763,-122.0313
290,icicles-cupertino,4,19622 Stevens Creek Blvd,Cupertino,37.3225,-122.0179
291,sunnywich-cafe-sunnyvale,4.5,223 East Maude Ave,Sunnyvale,37.3879,-122.0245
292,ocha-tea-café-and-restaurant-mountain-view-2,3.5,1350 Grant Rd,Mountain View,37.3770,-122.0767
293,bubble-bay-tea-santa-clara,3.5,4300 Great America Pkwy,Santa Clara,37.3929,-121.9774
294,jazen-tea-san-jose-4,3.5,1089 S De Anza Blvd,San Jose,37.3066,-122.0328
295,comebuy-tea-and-coffee-santa-clara,3.5,2712 Augustine Dr,Santa Clara,37.3822,-121.9762
296,music-tunnel-ktv-cafe-san-jose-2,3.5,1132 S De Anza Blvd,San Jose,37.3053,-122.0317
297,jazen-tea-santa-clara-3,3.5,3147 Mission College Blvd,Santa Clara,37.3883,-121.9836
298,butterfly-santa-clara,4,1000 Lafayette St,Santa Clara,37.3503,-121.9438
299,quickly-cupertino,3,21265 Stevens Creek Blvd,Cupertino,37.3235,-122.0474
300,california-mochi-santa-clara-4,4,3030 El Camino Real,Santa Clara,37.3518,-121.9812
301,t4-livermore-livermore-2,4,4010 E Ave,Livermore,37.6808,-121.7480
302,orange-tea-livermore,4.5,6033 Northfront Rd,Livermore,37.7119,-121.7234
303,big-fat-straw-cafe-livermore-2,4,980 Murrieta Blvd,Livermore,37.6761,-121.7851
304,donut-wheel-livermore,4,2017 1st St,Livermore,37.6807,-121.7708
